Meeting,URL,code,Key,Topic
10 infrastructure innovations to accelerate your AI solutions anywhere,https://www.youtube.com/watch?v=r_HHDInFNMc,SPTL205,"本次會議Sachin Gupta介紹了Google在基礎設施方面的10項創新，旨在加速客戶的人工智慧解決方案。核心觀點包括：

*   **滿足客戶需求：** 解決客戶在生成式AI應用、資料管理、安全、成本優化以及混合雲環境中遇到的挑戰。
*   **Google的獨特優勢：** 強調Google在AI和基礎設施領域的長期投入和技術積累，包括資料中心、全球網路、TPU、液體冷卻和全球42個區域。
*   **安全連接、優化效能、隨處運行AI：** 闡述Google如何幫助客戶安全地連接使用者、資料和模型，優化效能和成本，並在任何地方運行AI。
*   **網路、儲存和分散式雲的創新：** 介紹了在網路、儲存和Google分散式雲方面的多項創新，以提升AI解決方案的效能和效率。","Applied AI
"
10 infrastructure innovations to accelerate your AI solutions anywhere (Recap),https://www.youtube.com/watch?v=Ib1m8ngHEVU,SPTL205-RC,,
A beginner's guide to assembling agents,https://www.youtube.com/watch?v=T96ArcQTek0,BRK2-195,本次會議主要介紹了 Agent Space 及其在組裝代理方面的應用。Agent Space 作為搜尋和代理的中心樞紐，旨在幫助使用者釋放代理的潛力。透過 Agent Space，使用者可以連接到各種數據源，利用 Gemini 模型的能力，並在安全合規的框架內協調多個代理，自動化複雜任務。會議還介紹了兩個 Agent Space 內建的強大代理：Deep Research 和 Idea Generation，並展示了如何使用無程式碼代理設計器和 Agent Developer Kit (ADK) 來構建自定義代理。,"Applied AI
"
A conversation with Anthropic: How AI is shaping the future for startups,https://www.youtube.com/watch?v=lfBij7GXYEk,BRK1-096,"本次對話主要探討了 AI，特別是 Anthropic 的 Claude 模型，如何影響新創公司的發展。核心觀點包括：

*   **AI 的巨大潛力與風險：** AI 具有加速研究、改善人類健康、消除繁瑣工作等巨大潛力，但同時也存在風險，需要確保其發展對人類有益。
*   **新創公司在 AI 浪潮中的角色：** 新創公司將在 AI 驅動的變革中扮演重要角色，Google Cloud 致力於為這些新創公司提供支援。
*   **Claude 模型在實際應用中的價值：** Claude 模型已被 Replit、Augment Code 和 BrainLogic 等新創公司廣泛應用，用於加速軟體開發、簡化使用者體驗和提供個人化服務。
*   **安全性的重要性：** 在 AI 應用中，資料安全和模型安全至關重要，需要採取措施保護使用者資料和防止模型被濫用。
*   **新創公司建立競爭優勢的策略：** 在模型能力不斷增強的情況下，新創公司需要專注於建立網路效應、深入了解使用者需求、利用獨有資料等方式來建立競爭壁壘。
*   **AI 對未來工作模式的影響：** AI 將會改變組織結構和工作模式，員工將扮演更像 CEO 的角色，指揮 AI 團隊完成任務。","AI
"
A conversation with Replit and Anthropic: Empowering the next billion creators with Claude,https://www.youtube.com/watch?v=GxwueqmxT-g,SPTL212,"本次會議主要探討 Replit 如何利用 Anthropic 的 Claude 模型，賦能更多人成為軟體創作者。核心觀點包括：

*   **Replit 的願景：** 讓十億人成為軟體創作者，不再需要傳統的程式設計技能。
*   **AI 的角色：** AI 降低了程式設計的門檻，讓非技術人員也能快速創建應用程式。
*   **Claude 的優勢：** Claude 在 UI 設計、長期對話、工具使用和除錯方面表現出色，能協助使用者完成複雜的應用程式開發。
*   **使用者回饋的重要性：** 快速迭代和根據使用者回饋調整產品方向至關重要。
*   **Vertex 的價值：** Google Cloud Vertex 提供可靠、安全且全球可用的基礎設施，支援 Replit 的 AI 應用。","Applied AI
"
A master class in managing billions of Google Cloud storage objects and beyond,https://www.youtube.com/watch?v=eosO6EwNyxI,BRK2-134,"本次會議主要介紹了 Google Cloud Storage 的物件管理，特別是在大規模場景下的挑戰與解決方案。核心觀點包括：

*   儲存空間持續增長，尤其是在 AI 時代，新的訓練資料和 AI 生成內容不斷湧現。
*   物件儲存的規模龐大，管理困難，許多客戶擁有數千萬、數十億甚至數兆個物件。
*   自行開發儲存管理工具既困難又耗時，需要投入大量精力。
*   Google 推出了統一的儲存管理產品 Storage Intelligence，旨在幫助客戶解決儲存管理難題，讓他們能夠專注於更重要的業務問題。
*   Storage Intelligence 提供分析儲存狀態和大規模執行操作的功能，例如物件鎖定、儲存桶遷移和加密金鑰更新。","Storage
"
A new BigQuery capability: Integrated Earth data for better decision making,https://www.youtube.com/watch?v=xL25aGeKi4s,BRK2-204,"本次會議主要介紹了 Google Cloud BigQuery 的一項新功能，該功能整合了地球觀測數據，旨在幫助使用者做出更明智的決策。核心觀點包括：

*   BigQuery 擴展了其地理空間分析能力，納入了地球觀測數據，包括衛星影像和衍生數據集。
*   透過 Python 和使用者定義函數 (UDF)，可以利用地球觀測數據來豐富 BigQuery 中的現有數據。
*   BigQuery 推出了一項新功能 ST\_REGION\_STATS，該功能將 Earth Engine 的柵格分析能力引入 BigQuery，使用者可以直接在 BigQuery 中使用 SQL 進行柵格數據分析。
*   地球觀測數據在各個行業中具有廣泛的應用，例如監測森林砍伐、評估農業生產、管理供應鏈等。
*   歐盟反森林砍伐法規 (EUDR) 的實施，進一步凸顯了地球觀測數據在供應鏈合規性方面的重要性。","Data Analytics
"
A new era of AI for BI with Conversational Analytics for BigQuery and Looker,https://www.youtube.com/watch?v=sXzPQRdXi7c,BRK2-086,"本次會議主要探討如何利用 BigQuery 和 Looker 解決企業在商業智慧（BI）和人工智慧（AI）工具中面臨的數據孤島問題，並展示了生成式 AI 如何融入 Looker 平台的核心，特別是透過對話式分析，讓使用者能夠以自然語言與數據互動。核心觀點包括：

*   **數據整合與信任：** BigQuery 消除數據孤島，Looker 則減少 BI 和分析領域的孤島，確保數據的一致性和可信度。
*   **語義模型的重要性：** Looker 的語義模型是確保數據準確性的基礎，尤其在生成式 AI 環境下，能提供卓越的精確度。
*   **BigQuery 與 Looker 的協同效應：** Looker 的資料庫內架構充分利用 BigQuery 的強大功能和規模，同時提供效能管理和成本控制工具。
*   **AI 驅動的分析轉型：** Adio 的案例展示了如何從數據驅動轉向 AI 驅動，利用 AI 提升分析能力和決策品質。
*   **對話式分析的潛力：** 透過自然語言介面，使用者可以更輕鬆地獲取數據洞察，並利用 AI 進行更深入的分析。","Business Intelligence
"
A new era of self-service and beautiful visualizations: Studio in Looker,https://www.youtube.com/watch?v=c_9rAjEMiOY,BRK2-088,"本次會議主要介紹 Looker 中 Studio 的新功能，以及如何透過這些功能實現自助服務和美觀的可視化。核心觀點包括：

*   **自助服務的重要性：** 解決數據分析師不足的問題，讓非技術人員也能獨立獲取數據洞察。
*   **Studio 和 Looker 的結合：** 將 Studio 強大的可視化和報告引擎整合到 Looker 中，提高自助服務的易用性。
*   **Gemini 和 Looker 的結合：** 透過 AI 增強 BI 功能，提供更智能的數據分析。
*   **Looker Reports 的優勢：** 提供 Google 簡易儀表板、多樣的數據連接器，以及強大的管理和治理模型。
*   **Funnel 客戶案例：** 展示 Gina Tricot 如何透過 Looker 實現業務增長。
*   **Looker 的治理能力：** 確保用戶在自助服務的同時，也能遵守數據安全和合規性要求。","Business Intelligence
"
Accelerate creative media content with gen AI,https://www.youtube.com/watch?v=a2MZ6kw933c,BRK2-203,"本次會議主要探討如何利用生成式 AI（Gen AI）加速創意媒體內容的製作流程。會議涵蓋了 Gen Media 在 Vertex AI 上的應用，包括圖像、影片、音樂和語音等不同模態的生成，並展示了實際的行業應用案例，例如 Kraft Heinz 如何利用 Gen AI 優化行銷工作流程，以及 Goodby Silverstein & Partners 如何使用 AI 實現 Salvador Dalí 的電影願景。核心觀點包括：

*   **Gen AI 的普及化與可能性擴展：** Gen AI 降低了創作門檻，讓更多人能夠參與內容創作，同時也拓展了創作的可能性，實現過去難以實現的特效和編輯。
*   **Gen Media on Vertex AI 的優勢：** Gen Media 提供高品質、可擴展、安全且易於使用的生成式 AI 模型，降低了客戶自行開發和維護模型的成本和複雜性。
*   **多模態整合的重要性：** 將圖像、影片、音樂和語音等不同模態的 AI 模型整合在一起，可以創造更豐富、更具吸引力的內容。
*   **控制力與客製化的提升：** 新推出的相機控制功能和編輯工具，讓使用者能夠更精準地控制影片的生成過程，並根據不同需求進行客製化。
*   **安全與版權保護：** Gen Media 提供版權保護和安全過濾器，確保使用者可以安全地使用 AI 模型進行內容創作。
*   **實際應用案例的價值：** Kraft Heinz 和 Goodby Silverstein & Partners 的案例展示了 Gen AI 在行銷和創意內容製作方面的巨大潛力。","Vertex AI
"
Accelerate creative media content with gen AI (Recap),https://www.youtube.com/watch?v=hUG17QrXHk0,BRK2-203-RC,,
Accelerate enterprise Android app development with Gemini in Android Studio,https://www.youtube.com/watch?v=MPCI1klfgK0,BRK2-073,"本次會議主要介紹了 Google 如何利用 Gemini 和 Android Studio 來加速企業應用程式的開發。核心觀點包括：

*   Gemini 和 Android Studio 是一個 AI 編碼助手，可以幫助開發者更快地構建高品質的應用程式。
*   Gemini 和 Android Studio 已經推出兩年，並持續改進，為 Android 開發者提供最佳的 AI 助手。
*   針對企業用戶，Gemini 和 Android Studio 增加了客製化 AI 以適應團隊內部程式碼庫的工具，整合了最佳的管理功能，並提供隱私和 IP 保證。
*   使用 Gemini 可以提高軟體工程師的生產力高達 40%。
*   AI 程式碼完成功能現在接近 Google 內部軟體儲存庫中所有手動輸入字元的 50%。
*   Gemini 和 Android Studio 支援整個軟體開發生命週期，從設計 UI 到編寫和理解程式碼，再到除錯和監控。","App Dev
"
Accelerate your code reviews with Gemini Code Assist in GitHub,https://www.youtube.com/watch?v=WSoAXWVK7lY,BRK2-078,"本次會議主要介紹 Gemini Code Assist 如何協助開發者加速程式碼審查流程，提升開發效率和程式碼品質。核心觀點包括：

*   Gemini Code Assist 是一個由 AI 驅動的助手，旨在提高開發者的生產力、效率和滿意度。
*   Gemini Code Assist 可以整合到 GitHub 和 GitLab 等程式碼託管平台，在程式碼審查過程中提供自動化的建議和洞察。
*   透過客製化風格指南和配置，Gemini Code Assist 可以根據特定組織的需求進行調整。
*   Tailored Brands 分享了他們使用 Gemini Code Assist 的經驗，包括提高程式碼審查速度、改善程式碼品質和提升開發者體驗。","AI
"
Accelerate your Google Cloud migration journey,https://www.youtube.com/watch?v=RNBp0UHVw2Y,BRK1-122,"本次演講主要探討如何加速 Google Cloud 遷移的旅程，講者 Scott 分享了 Datadog 在協助客戶遷移雲端的經驗，強調了事前規劃、可觀測性的重要性，以及如何利用 Google Cloud 提供的工具和服務來實現更高效、安全且具成本效益的遷移。核心觀點包括：

*   **遷移前的準備：** 充分了解現有應用程式的架構、依賴關係和效能指標，建立詳細的資產清單。
*   **可觀測性的重要性：** 利用 Datadog 等工具監控遷移過程中的系統效能、安全性和成本，及早發現並解決問題。
*   **選擇合適的遷移策略：** 根據應用程式的特性和業務需求，選擇最適合的遷移策略，例如重新託管、重新平台化、重新架構等。
*   **安全性優先：** 在遷移過程中始終將安全性放在首位，利用 Google Cloud 提供的安全工具和服務來保護資料和應用程式。
*   **成本優化：** 遷移後持續監控和優化雲端資源的使用，以降低成本並提高效率。","Migration
"
Accelerate your Google Cloud migration journey (Recap),https://www.youtube.com/watch?v=xpYb7FMlA5Q,BRK1-122-RC,,
Accelerate your software development lifecycle with agents,https://www.youtube.com/watch?v=MgJq4bnJ3F8,BRK2-006,,
Accelerating data product development with Gen AI,https://www.youtube.com/watch?v=eLd5JSdy260,SPTL213,"本次會議主要探討如何利用生成式 AI（Gen AI）來加速數據產品的開發，解決數據品質問題，並找出符合業務需求的數據切片方式。核心觀點包括：

*   **數據是新的石油：** 企業需要從原始數據中提煉出有價值的資訊，並將其轉化為可用的產品。
*   **數據品質至關重要：** 數據品質問題會導致生產力下降、錯失機會和成本增加。
*   **業務驅動技術：** 數據產品開發應以業務需求為導向，避免技術先行。
*   **AI 不是萬能的：** 領域專家知識在解決數據品質問題和確保數據產品品質方面至關重要。
*   **生成式 AI 加速數據產品開發：** 生成式 AI 可以幫助企業更快地創建數據產品，並將數據轉化為可用的商業價值。
*   **數據品質是持續的過程：** 數據品質需要在整個數據生命週期中不斷監控和改進。","Applied AI
"
Accelerating migration to Google Cloud at scale: Practical lessons,https://www.youtube.com/watch?v=kHjg1fZOF9U,BRK1-044,"本次演講主要分享了德意志銀行在將數百個應用程式從內部部署遷移到 Google Cloud 的過程中，所遇到的挑戰以及 E-PAM Systems 如何協助他們克服這些挑戰。核心觀點包括：

*   應用程式團隊在設計階段耗費過多時間。
*   Google Cloud 生態系統服務眾多，應用程式團隊難以成為所有服務的專家，也難以完全了解銀行的策略。
*   不同團隊針對相同問題提出不同的解決方案，且可能使用未經銀行批准的服務。
*   設計問題通常在正式審查時才被發現。
*   透過決策樹、解決方案共享和培訓計畫，可以顯著縮短設計時間，提高解決方案品質和一致性，並降低總體擁有成本。","Migration
"
Accelerating tech modernization through gen AI agents,https://www.youtube.com/watch?v=eYtSGiuNx6I,BRK1-043,"本次會議主要探討如何利用生成式AI Agents加速技術現代化，並降低成本和風險。核心觀點如下：

*   **成本與風險降低：** 使用AI進行現代化改造，可降低35%至45%的成本和風險。
*   **技術與人的結合：** 技術固然重要，但人的因素（例如：如何建構、調整Agents）至關重要，若人的環節出錯，Agents將無法達到預期效果。
*   **結構化擴展：** 擁有Agents和建構它們的人才還不夠，還需要結構化的方法來擴展應用，避免停留在試點階段。
*   **變更管理：** 除了技術、人才和結構化方法，還需要變更管理，讓使用者能夠有效利用Agents及其產出。
*   **價值實現加速：** 過去需要7到10年才能完成的系統現代化，現在可以在幾個月內實現並開始產生價值。","Applied AI
"
Achieve operational resilience for critical apps in regulated industries,https://www.youtube.com/watch?v=2vZ4NqXj_WA,BRK2-121,"本次會議主要探討芝加哥商業交易所集團（CME Group）在 Google Cloud 上實現關鍵應用營運韌性的經驗。重點包括：

*   CME Group 與 Google Cloud 的合作歷程，以及從傳統地端部署轉移到雲端解決方案的過程。
*   營運韌性的原則，包括可觀測性、資料韌性以及變更管理。
*   在受監管產業中，如何透過雲端技術和 SRE（網站可靠性工程）實踐來確保關鍵應用程式的穩定性和可靠性。","Migration
"
Achieve robust business continuity on Google Cloud for mission-critical apps,https://www.youtube.com/watch?v=aFjf9L1EL68,BRK2-023,,
Achieve robust business continuity on Google Cloud for mission-critical apps (Recap),https://www.youtube.com/watch?v=PADc0CDOb7A,BRK2-023-RC,,
Advanced analytics made easy: BigQuery and Looker for small teams,https://www.youtube.com/watch?v=oepub9jaync,BRK2-002,本次會議主要介紹 Google Cloud Platform (GCP) 如何透過整合 BigQuery、Looker 和 Vertex AI，為小型團隊提供易於使用且功能強大的進階分析解決方案。重點在於解決小型團隊在數據分析方面面臨的挑戰，例如數據孤島、缺乏專業知識和預算限制。,"Data Analytics
"
Advanced developer's guide to MLOps on Vertex AI,https://www.youtube.com/watch?v=T1S45Bkt2Ao,BRK3-069,本次會議主要探討了在 Vertex AI 上進行 MLOps 的進階開發者指南。講者 Chase Lyle 首先闡述了 MLOps 的定義，強調其為人員、流程和工具的整合，旨在快速且可靠地將機器學習應用程式部署到生產環境。會議重點涵蓋了 MLOps 的生命週期，從模型探索、資料策劃、開發實驗、發布部署到生產監控，並介紹了 Google Cloud 提供的相關工具和服務，以簡化和加速 MLOps 流程。此外，Block 公司的 Damien Ramuno Johnson 分享了他們如何利用 Vertex AI Training 加速 MLOps 工作負載的實例。,"Vertex AI
"
Agent observability 101: Evaluating output and behaviour of your agents,https://www.youtube.com/watch?v=2pTM1qGF9Ww,BRK3-067,,
Agents are all you need,https://www.youtube.com/watch?v=Fbq2ty_3kDY,BRK2-212,"本次演講主要探討了 AI 代理（Agent）的概念、組成部分、生態系統以及未來發展趨勢。核心觀點包括：

*   **AI 代理的定義與重要性：** AI 代理是一種可以被要求完成目標，並以一定程度的自主性實現該目標的實體。
*   **AI 代理的組成部分：** 包括模型（尤其是具備思考能力的模型）、工具（用於擴展知識、能力和執行動作）、記憶（短期和長期）以及感知能力。
*   **AI 代理生態系統的現狀：** 涵蓋 AI 代理開發平台、工具、語音 AI 代理、多代理協作等領域。
*   **AI 代理的應用場景：** 包括編碼、研究、客戶支援、螢幕共享、銷售、招聘、教育、金融和個人生產力等。
*   **AI 代理的局限性與挑戰：** 包括邏輯迴圈、記憶限制、規劃能力不足、成本和延遲問題、缺乏標準協定、安全隱憂以及倫理考量。
*   **AI 代理的未來發展趨勢：** 包括代理將變得更加複雜、AI 協同科學家、多代理系統、機器人技術的發展以及高情商代理的出現。","AI
"
AI agents: Driving results in financial services,https://www.youtube.com/watch?v=0TpoeBG-v0g,BRK1-005,,
AI for everyone: Unlock employee productivity with Google Workspace and partners,https://www.youtube.com/watch?v=8p_azUwvjdQ,BRK1-082,,
AI Hypercomputer: Master your storage infrastructure,https://www.youtube.com/watch?v=CXwFLE4Eelg,BRK2-020,"本次會議主要介紹 Google Cloud Storage 如何針對 AI 和 ML 工作負載進行優化，並推出新的儲存產品和功能，以滿足 AI Hypercomputer 對儲存基礎架構的需求。核心觀點包括：

*   **AI Hypercomputer 的重要性：** Google Cloud 提供端到端的整合 AI 系統，包括硬體、軟體和彈性的使用模式，針對 AI 工作負載進行優化。
*   **儲存是 AI 基礎架構的關鍵：** 儲存 I/O 瓶頸會嚴重影響 GPU 利用率，儲存也是資料擷取、處理、模型訓練和推論等流程的整合元件。
*   **Google Cloud Storage 的解決方案：** 透過 Anywhere Cache 和 Rapid Storage 等產品，提供高效能、低延遲、高吞吐量的儲存解決方案，以加速 AI 工作負載。
*   **平行檔案系統的優勢：** Managed Luster 提供高效能、完全託管的平行檔案系統，適用於需要低延遲和高吞吐量的 AI 工作負載。","Applied AI
"
"AI Hypercomputer: Performance, scale, and the power of Pathways",https://www.youtube.com/watch?v=2yTzNwYLrKw,BRK2-132,"本次會議主要介紹 Google Cloud 的 AI Hypercomputer，這是一個端到端的協同設計架構，旨在最大化 AI 工作負載的效能。會議重點包括：

*   **AI Hypercomputer 的架構：** 涵蓋效能優化的硬體、協調、運行時、框架和解決方案層，以及彈性的使用模型。
*   **Pathways 的引入：** 一個分散式運行時，可實現靈活的協調、整合的控制和互動式超級運算。
*   **Osmos 的案例：** 展示如何使用 Pathways 最大化 FLOPs 以進行開發。
*   **彈性訓練的重要性：** 強調在發生故障時，能夠縮減規模並在節點可用時擴展規模的能力。
*   **互動式開發的革新：** 透過 Pathways，開發人員可以使用低成本的 CPU 機器進行開發，並利用任意規模的運算資源。","Applied AI
"
AI in action: Optimize your AI infrastructure,https://www.youtube.com/watch?v=UEM4XMPKB_g,BRK1-060,"本次會議主要探討了 Google Cloud 的 AI Hypercomputer 如何幫助企業最佳化其 AI 基礎架構，並分享了 Moloco、Shopify 和 UAE's Technology Innovation Institute 等公司利用 Google Cloud 解決方案的實際案例。核心觀點包括：

*   **AI Hypercomputer 的架構與優勢：** 透過整合硬體、軟體和動態工作負載排程器，提供端到端的 AI 解決方案，提高效率和靈活性。
*   **Google Cloud 在 AI 領域的領先地位：** 強調 Google 在 AI 研究和應用方面的深厚積累，以及如何將這些經驗應用於 Google Cloud 服務。
*   **企業如何利用 Google Cloud 擴展 AI 能力：** 分享了不同企業在模型訓練、推論和資料處理等方面使用 Google Cloud 的經驗，以及如何實現效能提升和成本降低。
*   **持續最佳化的重要性：** 強調 AI 領域的快速發展，企業需要不斷調整和最佳化其 AI 基礎架構，以保持競爭力。","Applied AI
"
AI in action: Optimize your AI infrastructure (Recap),https://www.youtube.com/watch?v=rDx5_maHSfw,BRK1-060-RC,,
AI in action: SMBs transforming customer experiences with Google Cloud,https://www.youtube.com/watch?v=AzdEQxmOkyE,BRK1-112,本次會議主要探討中小企業 (SMBs) 如何利用 Google Cloud 的 AI 解決方案，在資源有限的情況下，快速適應不斷變化的客戶需求和市場環境，實現業務轉型，提升客戶體驗、創新能力和營運效率。與會者分享了他們在實踐中遇到的挑戰、解決方案以及取得的成果。,"Applied AI
"
AI in banking: Enable money-laundering detection and prevention at scale,https://www.youtube.com/watch?v=V4eipJm6Hjs,BRK2-055,本次會議主要探討了如何利用人工智慧（AI）技術，更有效地偵測和預防金融犯罪，特別是洗錢活動。會議強調了傳統基於規則的系統的局限性，以及單一AI解決方案缺乏透明度和可解釋性的問題。與會者分享了利用AI技術從根本上改變反洗錢（AML）策略的經驗，強調了數據的重要性、合作的必要性，以及在不斷變化的犯罪環境中保持領先地位的挑戰。,"Applied AI
"
AI Investment to impact: Unlocking sustainable ROI with Google Cloud,https://www.youtube.com/watch?v=HBIAGM5sNng,BRK1-002,"本次會議主要探討了在 Google Cloud 上進行 AI 投資，如何實現可持續的投資報酬率。核心觀點包括：

*   **AI 投資的商業價值實現：** 強調不僅僅是採用 AI，更重要的是從 AI 投資中獲得實際、可衡量的商業價值。
*   **FinOps 的重要性：** 利用 FinOps 的核心財務治理最佳實踐，確保對 AI 投資有適當的可見性和控制，避免成本失控，並實現可預測的價值。
*   **業務對齊、價值衡量和 FinOps 採用：** 成功的 AI FinOps 策略需要這三個核心支柱。
*   **持續監控和優化：** 不僅僅是推出 AI 產品，還需要持續監控和優化，以管理效能和營運指標。
*   **跨職能協作：** 強調業務、技術和財務團隊之間的跨職能協作，以最大化價值和投資回報。","AI
"
AI security and APIs: Address OWASP’s top 10 LLM and API risks,https://www.youtube.com/watch?v=U8bGoGAG5AU,BRK3-008,本次會議主要探討了 AI 和 API 安全，特別是針對 OWASP（開放網路應用安全專案）針對大型語言模型（LLM）和 API 的十大風險。會議議程包括 Renault 集團的 API 歷程分享、LLM 和 API 的 OWASP 十大風險分析，以及相關的示範。Google 的 Model Armor 和 Apigee 被提出作為應對這些風險的解決方案。,"Security
"
AI security and APIs: Address OWASP’s top 10 LLM and API risks (Recap),https://www.youtube.com/watch?v=LVaQkaL95R0,BRK3-008-RC,,
AI-assisted database management: From fleet-wide optimization to granular performance troubleshooting,https://www.youtube.com/watch?v=1yZU7s1mKsA,BRK2-099,本次會議主要介紹了 Google Cloud 推出的 Database Center，一個基於 AI 的資料庫助手，旨在簡化企業在多種資料庫引擎環境下的管理工作，並協助主動降低風險。Database Center 提供統一的介面，讓使用者可以跨組織查看和管理整個資料庫群，並利用 Gemini 的 AI 能力進行輔助聊天和進階效能疑難排解。,"Databases
"
